,pm10_value,pm25_value,o3_value,no2_value,so2_value
t_mean,-0.11931279941752512,-0.2540871968663135,0.3829139718468495,-0.165754223214841,-0.09117051995185371
rh_mean,0.1342800652083591,0.17707556096909277,-0.3108075175384168,0.11198980785186456,-0.0398040188302392
ac_r,-0.1127299415690341,-0.09547827993727488,0.00027851639812867307,-0.09360687514871005,-0.04918712498308403
ws_mean,-0.23325414786074172,-0.21018916766530082,0.11217919953982901,-0.32715704454429145,-0.0452341397977582
dwd,-0.09680571759065237,-0.07896655027106508,0.02723239587762329,-0.10948812352147835,-0.06017230952873518
month_1,0.04350526660403815,0.17129425909043383,-0.25922638079599836,-0.03546034367353703,0.18553891438639908
month_2,0.16110720889210578,0.24593312294847433,-0.10164810467776841,0.198381520297722,0.4247325209366301
month_3,-0.12000014692273805,-0.05619737981164576,-0.013940616969991333,0.04129037567741993,0.2736233060081333
month_5,-0.07862423855105445,-0.045536006526180076,0.05567234488501697,-0.07873869132042502,0.08790689889135116
month_6,-0.1982083283290518,-0.2076627346791472,0.257132744665035,-0.20198619370226245,0.02969055048922951
month_7,-0.113063400735855,-0.1635355342226282,0.35992673961149513,-0.14046862561027346,-0.014340094333001879
month_8,-0.12180838030641693,-0.1335518337277956,0.422900865859872,-0.1354191751809441,0.06317996013946087
month_9,-0.017574707444694394,-0.08252382675859202,0.09996875717363779,-0.053258471595073145,-0.2630228063229257
month_10,0.1389066594779049,-0.06283661106652902,-0.1371248141184243,0.02617337686679565,-0.3920629276050893
month_11,0.09867319072210835,-0.00032390497229899573,-0.31786196392044447,0.15049114251631712,-0.37535253751698683
month_12,0.3615921625585289,0.4480461577054036,-0.4651414417659588,0.29896351261583204,-0.18211306699727958
pm10_value_prev,0.6964149134202919,0.644816286004493,-0.47061285301423406,0.42377042097161044,-0.18368503716756956
pm25_value_prev,0.6860432214247915,0.7792960544059023,-0.5157797614046056,0.46359174358743815,0.06543598513897898
o3_value_prev,-0.543396200897226,-0.5629217289350967,0.8773988274230662,-0.4689897683512867,0.18231794257169584
no2_value_prev,0.6909932993106935,0.6565870473099883,-0.5256958683856292,0.6370557348872279,-0.047562295703503336
so2_value_prev,-0.04331810896445309,0.18184043444613765,0.15421355150376376,0.059118721396305744,0.8538566458098712
