month,date,so2_value,pm10_value,o3_value,no2_value,pm25_value
1,2023-01-16 00:00:00,12.012931034482758,39.14798850574713,23.017241379310345,44.34051724137931,23.691091954022987
2,2023-02-14 12:00:00,15.705,43.14166666666667,32.44166666666666,56.25666666666667,25.663333333333334
3,2023-03-16 00:00:00,13.544642857142858,28.857142857142858,39.132440476190474,47.12202380952381,15.561011904761907
4,2023-04-15 12:00:00,13.285714285714286,24.38095238095238,49.90922619047619,41.25595238095239,12.950892857142858
5,2023-05-16 00:00:00,12.658333333333333,26.075,48.31666666666666,37.80833333333333,14.433333333333334
6,2023-06-15 12:00:00,10.285493827160494,25.699074074074073,57.49382716049382,37.12808641975309,11.125
7,2023-07-16 00:00:00,9.724702380952381,30.886904761904763,63.578869047619044,41.11458333333333,12.953869047619047
8,2023-08-16 00:00:00,10.668103448275861,29.379310344827587,66.63793103448276,40.63505747126437,13.652298850574713
9,2023-09-15 12:00:00,6.209935897435898,34.76923076923077,45.85897435897436,44.69230769230769,15.064102564102566
10,2023-10-16 00:00:00,5.047222222222222,41.69305555555556,29.86527777777778,48.44305555555556,16.01111111111111
11,2023-11-15 12:00:00,5.074404761904762,41.3125,16.699404761904763,53.995535714285715,18.623511904761905
12,2023-12-16 00:00:00,7.677777777777778,53.1125,9.141666666666667,60.47083333333333,31.830555555555556
