Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
1/1/23,9.4,13.8,5.7,88,94,73,1030.9,1032.1,1029.8,0.4,1.9,SE,12.9
2/1/23,9.1,13.3,6.1,88.8,95,79,1029.4,1031.3,1027.6,0.2,1.8,SE,9.7
3/1/23,8.9,13,5.6,87.7,94,78,1026,1027.9,1024.2,0.2,1.6,SE,8
4/1/23,10.3,15.9,6.1,85.7,94,66,1025.1,1026.2,1023.9,0,3.9,SE,19.3
5/1/23,10.1,13.8,7.6,84.6,92,68,1020.8,1025.5,1017.9,0.2,3.2,E,12.9
6/1/23,12.3,15.6,7,66.4,90,53,1021.1,1023.6,1018.7,0,18.9,NNW,53.1
7/1/23,9.4,14.2,5.7,73.6,85,62,1023.1,1025.1,1021.4,0,2.5,SE,17.7
8/1/23,8.7,12.6,4.6,86.6,94,75,1021.3,1022.5,1020.2,0,2.6,W,11.3
9/1/23,10.8,13.6,7.8,84.5,91,77,1016.6,1020.7,1009.5,0.4,4.9,ESE,29
10/1/23,11.4,13.9,9.1,87.5,95,69,1005.7,1009.7,1003.3,14.6,9.5,ESE,53.1
11/1/23,9.8,12.5,8.5,69.8,74,65,1013,1016.4,1009,0,21.9,NNW,45.1
12/1/23,9.1,11.8,7.3,71.2,78,63,1017.9,1019.5,1016.3,0,20.7,NNW,38.6
13/1/23,8.9,13.1,5.3,75.4,88,64,1018.9,1019.9,1017.9,0,9.5,NW,27.4
14/1/23,8.2,11.6,4,81.2,93,70,1019.1,1020.2,1017.9,0,7.8,N,25.7
15/1/23,9.4,12.3,7.1,75,86,65,1019.4,1021.4,1016.9,0,7.9,N,29
16/1/23,9.4,13.3,5.7,83.5,92,70,1011.7,1017,1006.5,0,4.8,W,20.9
17/1/23,13.3,16.5,8.1,77.3,90,66,1004.8,1006.5,1003.2,0,6.2,SE,33.8
18/1/23,17,19.5,15.5,63.3,71,54,1005.6,1008.4,1002.8,0,11.8,SE,41.8
19/1/23,16.8,19.8,11.9,65.2,90,53,1007.4,1009.2,1005.2,7.8,14.7,ESE,54.7
20/1/23,12.3,14.7,9.8,74.4,92,56,1005.6,1010.2,1002,4.2,9.6,E,37
21/1/23,13,15.4,10.7,72.6,82,64,1010,1014,1007.5,0,6.3,ESE,30.6
22/1/23,10.9,15,8.3,80,90,65,1017.6,1019.9,1014,0,2.9,SSW,12.9
23/1/23,14,17.8,11.6,73.7,82,61,1020.7,1022.6,1018.7,0,11.3,ENE,45.1
24/1/23,9.1,11.7,7.9,89.2,91,74,1025.7,1027.3,1022,26.8,6.5,ENE,54.7
25/1/23,7.9,9.3,5.9,83.2,89,76,1024.7,1027.2,1020.5,0.6,4.1,ENE,17.7
26/1/23,6,6.7,4.9,86.7,92,81,1013,1020.3,1006.1,5,11.6,ENE,38.6
27/1/23,6.8,8.6,5.6,82.6,89,74,1005.7,1008.5,1003.7,0,17.2,WNW,45.1
28/1/23,6.6,9.3,4.9,71,76,65,1012.8,1017.6,1008.5,0,25.4,NNW,54.7
29/1/23,6.4,9,4.4,70.2,76,61,1019,1020.3,1017.5,0,19.5,NNW,38.6
30/1/23,5.8,8.6,4.6,65.7,74,55,1015.7,1019.5,1011.8,0,17,N,41.8
31/1/23,7,10,4.2,65.1,74,55,1013.9,1018.1,1011.6,0,28.4,NW,54.7
1/2/23,7.8,11.3,4.7,59.2,70,47,1019.2,1021,1017.9,0,20,NNW,46.7
2/2/23,7.4,12.2,2.7,68.7,87,47,1018.2,1020,1016.5,0,4.4,SSW,30.6
3/2/23,7.8,10.3,4,61.4,78,45,1021,1023.5,1016.8,0,20.9,NW,46.7
4/2/23,8,12.6,3.8,63.1,78,51,1013.2,1016.7,1010.3,0,24.2,NNW,74
5/2/23,2.5,3.8,1.1,64.5,69,62,1018.7,1022.8,1014.6,0,40.7,NNW,72.4
6/2/23,2.2,5.1,-0.2,58.9,68,49,1025.2,1029.4,1022.4,0,28.3,NNW,51.5
7/2/23,2.5,5.6,0.4,55.3,65,42,1031.1,1032.7,1029.5,0,19.2,NNW,38.6
8/2/23,2.2,6.1,-1.4,53.7,71,37,1035.7,1037.6,1032.8,0,14.2,N,35.4
9/2/23,3.1,7.4,-1.4,55.3,71,42,1035.9,1037.3,1034.8,0,5.8,E,24.1
10/2/23,3.5,8.7,-1,64.3,85,46,1034.5,1036,1032.8,0,5.3,WSW,19.3
11/2/23,4.3,9.3,-1,61.2,85,41,1031.6,1034.5,1027.8,0,7.7,W,29
12/2/23,6.3,10.1,1.3,62.2,80,49,1028.4,1034.1,1025.9,0,11.7,NW,46.7
13/2/23,7.6,11.8,4.4,69.2,81,52,1034.2,1036.7,1031.3,0,4.7,SW,22.5
14/2/23,8.3,11.4,5.4,61.2,71,54,1028,1031.3,1024.9,0,24.5,NNW,51.5
15/2/23,8,12,4.1,67.4,83,53,1029.8,1031.2,1028.4,0,12.4,NNW,35.4
16/2/23,7.2,12.5,2.7,79.4,91,58,1029.4,1030.7,1028.2,0,2.5,SW,9.7
17/2/23,7.6,12.9,3.3,82.4,93,62,1026.3,1028.2,1024.3,0,2.7,SW,9.7
18/2/23,9.1,15.9,3.3,75.9,91,48,1023.2,1025.6,1020.7,0.2,3,SSW,11.3
19/2/23,10.7,18.4,5.7,70.8,85,40,1018.4,1021,1015.8,0,3.2,SSW,12.9
20/2/23,13.6,16.9,7.9,60.1,83,44,1021,1022.9,1017.7,0,21.8,NW,53.1
21/2/23,11.3,18.3,6.1,64.2,84,36,1017.3,1021.5,1014.6,0,3.2,SSW,16.1
22/2/23,11.3,19.2,5.4,74.2,89,41,1014.2,1015.6,1012.7,0,2.8,SE,17.7
23/2/23,11.8,14.8,7.8,86.3,92,78,1015.5,1017,1014.3,0,2.2,WSW,11.3
24/2/23,12.4,14.6,10.3,85.4,90,80,1014.6,1016.4,1012.4,0,2.9,SE,16.1
25/2/23,13.1,17.6,10,83.1,94,56,1009.3,1012.4,1007.1,0,3.7,SE,16.1
26/2/23,16.4,18.2,11.8,66.2,88,53,1006.3,1008.6,1004.8,0,10.5,ESE,46.7
27/2/23,15.3,19.4,12.4,72.7,90,58,1013.9,1018.3,1008.5,0,5.6,SE,29
28/2/23,12.4,14.3,10.7,92.2,93,90,1019.4,1021.1,1018.1,15.8,3.5,SE,16.1
1/3/23,11.9,12.9,10.8,90.7,94,87,1018.3,1019.5,1017.2,0,3.4,SSW,20.9
2/3/23,10.8,11.9,9.3,88.7,92,82,1017.2,1018.6,1016,5.6,3.9,WSW,19.3
3/3/23,10.1,13.2,8.8,89.9,94,80,1015.8,1016.7,1014.5,3.6,3.1,SE,14.5
4/3/23,10.8,12.4,9.3,88.8,92,82,1013.6,1015.8,1011.2,12.8,4.2,ENE,20.9
5/3/23,11.4,15.5,8.3,77.6,94,60,1008.9,1011.1,1006,0.4,9.2,WNW,32.2
6/3/23,10.9,16.2,5.3,71.4,87,54,1011.1,1013.1,1009.9,0,4.5,ESE,20.9
7/3/23,12.2,15.8,8.2,76.3,88,63,1008.8,1010,1007.7,0,3.8,SE,14.5
8/3/23,11.4,17.2,6.3,80.4,93,59,1010.1,1011.5,1008.6,0,3.5,SW,16.1
9/3/23,13.6,19.7,8.2,74,88,53,1009.2,1011.2,1006.6,0,4.2,SE,17.7
10/3/23,15.2,19.3,10.3,75.5,89,61,1004.6,1009,998.7,0,5.4,ESE,41.8
11/3/23,15,20,10.8,70.1,90,53,998.5,1002.4,996,1.8,8.6,N,51.5
12/3/23,10.5,13.7,6.9,57.8,72,43,1010,1017.8,1002.4,0,25.1,NNW,56.3
13/3/23,10.3,14.3,6.8,59.8,71,49,1019.8,1021.8,1017.7,0,9.9,SW,30.6
14/3/23,9.8,15,5.8,76.1,87,58,1014.2,1019.5,1008.1,0,4.7,ESE,25.7
15/3/23,10,11.9,7,81,88,74,1004.5,1008.2,1002.6,0.8,4.9,W,19.3
16/3/23,8.2,10.8,4.8,75.8,87,64,1010.4,1016.5,1004.2,5.2,27.1,NNW,53.1
17/3/23,9.2,13.7,4.1,74.5,89,57,1018.8,1020.2,1016.5,2.2,14.4,WNW,35.4
18/3/23,9.6,14.2,5.3,74.1,85,57,1020,1022.2,1018.3,0.8,3.6,ENE,22.5
19/3/23,9.7,14.8,4.1,74.3,91,50,1021,1022.9,1019,0.2,4.5,SSW,16.1
20/3/23,11.3,15.9,6.1,81.2,89,70,1017.9,1020.6,1015.3,0,3.5,ESE,17.7
21/3/23,11.8,14.6,9.1,88.2,93,81,1012.8,1015.1,1010.7,0.6,5,SSW,24.1
22/3/23,13.2,18.8,10.4,83,93,59,1012.5,1015.6,1010.3,2,6.2,WNW,32.2
23/3/23,13,17.9,9.6,85.2,93,70,1016,1017.9,1014.8,0,6.1,SE,20.9
24/3/23,12.7,17.7,8.1,84.4,93,68,1016.2,1018.4,1014.1,0,4.4,SW,16.1
25/3/23,13,17.5,9.3,87.6,94,75,1010.4,1014,1007.5,0.2,3.9,SW,17.7
26/3/23,16,21.3,10.2,63.4,94,35,1008.6,1011,1006.6,0.2,9.9,NW,45.1
27/3/23,14.6,20.9,10.7,72.1,85,50,1001.6,1006.6,997.8,0.6,11,N,53.1
28/3/23,9.3,11.2,6.6,55,74,38,1011.8,1022.5,1002.9,0,45.8,NW,82.1
29/3/23,9.5,14,5.3,47.9,65,29,1023.3,1025.6,1021.4,0,23.9,NW,64.4
30/3/23,11.1,17.8,5.3,59,78,32,1021.3,1023.8,1018.4,0,4.3,SE,25.7
31/3/23,12.7,18.7,7.9,75.1,87,58,1013.2,1018.4,1008.3,0,5,SSW,19.3
1/4/23,16,24.3,10.9,67.9,87,44,1004.6,1008.5,1001,0,9,SE,46.7
2/4/23,14.4,18.6,11.6,69.4,79,50,1007.2,1008.3,1005.9,0,4.3,SSW,16.1
3/4/23,11.4,13.2,9.1,87.6,93,78,1002.6,1007.6,997.6,54.6,6.9,ENE,57.9
4/4/23,11,15.1,6.9,75.5,93,63,1002.9,1008.9,999.4,0,23.2,WNW,51.5
5/4/23,10.2,14.9,6.4,62.1,74,49,1011.4,1013.3,1009,0,24.1,NNW,54.7
6/4/23,10.6,14.2,7.9,59.7,68,53,1011.1,1013.3,1008.8,0,22.6,NNW,48.3
7/4/23,10.7,14.5,7,56.2,69,43,1015.4,1017.4,1013.3,0,11.8,N,46.7
8/4/23,11.2,14.2,8.3,78.6,89,65,1017.7,1019.1,1016.5,0.6,3.9,ENE,19.3
9/4/23,11.6,16.6,8.1,81.8,90,66,1017.1,1018.9,1015,3.6,7.9,SW,20.9
10/4/23,11.4,15.5,9.7,82.2,91,65,1014,1015.9,1012.6,1.2,9.2,WNW,27.4
11/4/23,13.3,17.2,8.7,67.7,89,47,1009.3,1012.4,1006.6,0,20.9,NW,49.9
12/4/23,15,18.4,9.7,57.4,73,38,1006,1008.1,1003.8,0,18.8,NNW,49.9
13/4/23,14.2,21.3,8.1,67.7,87,48,1008.7,1010.1,1007.3,0,4.4,SE,19.3
